"""Two years of community college should become as free and as universal as high school is today."" —@VP Joe Biden http://t.co/opmfnUAWDs",BarackObama
"In the weekly address, @VP Joe Biden talks about the plan to make community college free for two years. http://t.co/opmfnUSy22",BarackObama
WATCH: The Obama administration supports a ban on conversion therapy to protect America's youth. http://t.co/KO5EUFNZ6z,BarackObama
President Obama is working with Caribbean leaders to make clean energy a priority. Find out how: http://t.co/yV5BPa2ARo #SwitchToClean,BarackObama
Retweet if you agree: We have to #ActOnClimate now. http://t.co/KOWM1nnGUu,BarackObama
"RT @Surgeon_General: .@jg13145: I've treated many patients with asthma, so this issue is very important to me. #AskTheSurgeonGeneral -VM ht…",BarackObama
Read how one organizer found his inspiration to take action: http://t.co/nvHicvu8gt,BarackObama
"""16 million people or more have health insurance that didn't have it before."" —President Obama on #Obamacare http://t.co/KR6QXo5xfY",BarackObama
Check out these great photos from this year's #EasterEggRoll: http://t.co/IAksXloAMV #TBT http://t.co/0jfTpkAHxQ,BarackObama
RT @LaborSec: It's a moral imperative to protect the rights of #LGBT workers. Today we make another step toward workplace equality: http://…,BarackObama
"Man-made climate change is happening, and it's a real threat to public health. Read more here: http://t.co/jJu6MMUMSJ",BarackObama
Today marks an important milestone for civil rights. Read more from @vj44: http://t.co/fJaRbBGnXI,BarackObama
"The White House is expanding ""Take Our Daughters and Sons to Work Day"" to kids who don't have a workplace to visit: http://t.co/6z72bEWXvp",BarackObama
RT @WhiteHouse: RT to share how we're expanding our use of solar power under President Obama → http://t.co/xKq4J57Jqd #ActOnClimate http://…,BarackObama
Now is the time to #ActOnClimate. http://t.co/drhUfpXrZN,BarackObama
Read how President Obama is working to minimize public health risks from climate change: http://t.co/BoQnDZybWS #ActOnClimate,BarackObama
The House's budget is based on trickle-down economics that have failed working families. See how it could affect you: http://t.co/2xy4ix5djd,BarackObama
Happy #OpeningDay. http://t.co/j6kwxAzPXU,BarackObama
RT @FLOTUS: Knockouts. #GimmeFive #EasterEggRoll http://t.co/bUvNHUwYUV,BarackObama
This would be huge for working families: http://t.co/BKRQaGssZk #LeadOnLeave,BarackObama
Today is the 137th White House Easter Egg Roll. Check out the celebration here: http://t.co/bX6GW7zBjM #GimmeFive,BarackObama
"WATCH: In the weekly address, President Obama talks about the historic understanding reached with Iran. http://t.co/MIjYhUvFNY",BarackObama
"""From my family to yours, Chag Sameach."" —President Obama http://t.co/l500BWYpEl",BarackObama
RT @jimmyfallon: The Evolution of Mom Dancing 2 - Special thanks to @FLOTUS! #GimmeFive #MomDance https://t.co/8TEEYsj5Fj #FallonTonight,BarackObama
"The President is launching an initiative to train 75,000 Americans—including veterans—to join the solar workforce: http://t.co/z6yBNOiXPa",BarackObama
"""We've got to lead by example, invest in the future, train our workers to get jobs in the clean energy economy."" —President Obama",BarackObama
"""We've got to be relentless in our work to grow the economy and create new jobs."" —President Obama",BarackObama
"""Since I took office, solar electricity has gone up twenty-fold."" —President Obama #ActOnClimate",BarackObama
LIVE: President Obama is in Utah talking about training American workers for clean energy jobs. http://t.co/tVLVPOQw7v #ActOnClimate,BarackObama
Tune in at 1 p.m. ET to watch President Obama at Hill Air Force Base in Utah discuss the importance of clean energy: http://t.co/Y3HEZM9ekz,BarackObama
"Our economy added 126,000 jobs in March, the 61st consecutive month of private-sector job growth.",BarackObama
